percentile,definition,component,time,GMST
p17,Annual,anthropogenic,2021,
p17,Annual,anthropogenic,2025,1.248
p17,Annual,ghg,2015,
p17,Annual,ghg,2017,1.358
p17,Annual,ghg,2021,
p17,Annual,ghg,2025,1.525
p17,Annual,natural,2015,
p17,Annual,natural,2017,0.05
p17,Annual,natural,2021,
p17,Annual,natural,2025,0.036
p17,Annual,other_human_forcing,2015,
p17,Annual,other_human_forcing,2017,-0.57
p17,Annual,other_human_forcing,2021,
p17,Annual,other_human_forcing,2025,-0.559
p17,Annual,total,2015,
p17,Annual,total,2017,1.102
p17,Annual,total,2021,
p17,Annual,total,2025,1.292
p17,SR1.5,anthropogenic,2015,
p17,SR1.5,anthropogenic,2017,1.037
p17,SR1.5,anthropogenic,2021,
p17,SR1.5,anthropogenic,2025,1.245
p17,SR1.5,ghg,2015,
p17,SR1.5,ghg,2017,1.358
p17,SR1.5,ghg,2021,
p17,SR1.5,ghg,2025,1.525
p17,SR1.5,natural,2015,
p17,SR1.5,natural,2017,0.051
p17,SR1.5,natural,2021,
p17,SR1.5,natural,2025,0.033
p17,SR1.5,other_human_forcing,2015,
p17,SR1.5,other_human_forcing,2017,-0.575
p17,SR1.5,other_human_forcing,2021,
p17,SR1.5,other_human_forcing,2025,-0.562
p17,SR1.5,total,2015,
p17,SR1.5,total,2017,1.1
p17,SR1.5,total,2021,
p17,SR1.5,total,2025,1.285
p17,AR6,anthropogenic,2015,0.983
p17,AR6,anthropogenic,2017,
p17,AR6,anthropogenic,2021,1.132
p17,AR6,anthropogenic,2025,
p17,AR6,ghg,2015,1.308
p17,AR6,ghg,2017,
p17,AR6,ghg,2021,1.432
p17,AR6,ghg,2025,
p17,AR6,natural,2015,0.05
p17,AR6,natural,2017,
p17,AR6,natural,2021,0.04
p17,AR6,natural,2025,
p17,AR6,other_human_forcing,2015,-0.571
p17,AR6,other_human_forcing,2017,
p17,AR6,other_human_forcing,2021,-0.569
p17,AR6,other_human_forcing,2025,
p17,AR6,total,2015,1.041
p17,AR6,total,2017,
p17,AR6,total,2021,1.181
p17,AR6,total,2025,
p50,Annual,anthropogenic,2015,
p50,Annual,anthropogenic,2017,1.122
p50,Annual,anthropogenic,2021,
p50,Annual,anthropogenic,2025,1.337
p50,Annual,ghg,2015,
p50,Annual,ghg,2017,1.541
p50,Annual,ghg,2021,
p50,Annual,ghg,2025,1.728
p50,Annual,natural,2015,
p50,Annual,natural,2017,0.06
p50,Annual,natural,2021,
p50,Annual,natural,2025,0.044
p50,Annual,other_human_forcing,2015,
p50,Annual,other_human_forcing,2017,-0.42
p50,Annual,other_human_forcing,2021,
p50,Annual,other_human_forcing,2025,-0.391
p50,Annual,total,2015,
p50,Annual,total,2017,1.182
p50,Annual,total,2021,
p50,Annual,total,2025,1.381
p50,SR1.5,anthropogenic,2015,
p50,SR1.5,anthropogenic,2017,1.117
p50,SR1.5,anthropogenic,2021,
p50,SR1.5,anthropogenic,2025,1.334
p50,SR1.5,ghg,2015,
p50,SR1.5,ghg,2017,1.541
p50,SR1.5,ghg,2021,
p50,SR1.5,ghg,2025,1.728
p50,SR1.5,natural,2015,
p50,SR1.5,natural,2017,0.061
p50,SR1.5,natural,2021,
p50,SR1.5,natural,2025,0.041
p50,SR1.5,other_human_forcing,2015,
p50,SR1.5,other_human_forcing,2017,-0.424
p50,SR1.5,other_human_forcing,2021,
p50,SR1.5,other_human_forcing,2025,-0.394
p50,SR1.5,total,2015,
p50,SR1.5,total,2017,1.179
p50,SR1.5,total,2021,
p50,SR1.5,total,2025,1.375
p50,AR6,anthropogenic,2015,1.058
p50,AR6,anthropogenic,2017,
p50,AR6,anthropogenic,2021,1.216
p50,AR6,anthropogenic,2025,
p50,AR6,ghg,2015,1.483
p50,AR6,ghg,2017,
p50,AR6,ghg,2021,1.623
p50,AR6,ghg,2025,
p50,AR6,natural,2015,0.061
p50,AR6,natural,2017,
p50,AR6,natural,2021,0.049
p50,AR6,natural,2025,
p50,AR6,other_human_forcing,2015,-0.425
p50,AR6,other_human_forcing,2017,
p50,AR6,other_human_forcing,2021,-0.408
p50,AR6,other_human_forcing,2025,
p50,AR6,total,2015,1.119
p50,AR6,total,2017,
p50,AR6,total,2021,1.264
p50,AR6,total,2025,
p83,Annual,anthropogenic,2015,
p83,Annual,anthropogenic,2017,1.193
p83,Annual,anthropogenic,2021,
p83,Annual,anthropogenic,2025,1.421
p83,Annual,ghg,2015,
p83,Annual,ghg,2017,1.705
p83,Annual,ghg,2021,
p83,Annual,ghg,2025,1.913
p83,Annual,natural,2015,
p83,Annual,natural,2017,0.072
p83,Annual,natural,2021,
p83,Annual,natural,2025,0.052
p83,Annual,other_human_forcing,2015,
p83,Annual,other_human_forcing,2017,-0.249
p83,Annual,other_human_forcing,2021,
p83,Annual,other_human_forcing,2025,-0.208
p83,Annual,total,2015,
p83,Annual,total,2017,1.256
p83,Annual,total,2021,
p83,Annual,total,2025,1.464
p83,SR1.5,anthropogenic,2015,
p83,SR1.5,anthropogenic,2017,1.188
p83,SR1.5,anthropogenic,2021,
p83,SR1.5,anthropogenic,2025,1.417
p83,SR1.5,ghg,2015,
p83,SR1.5,ghg,2017,1.705
p83,SR1.5,ghg,2021,
p83,SR1.5,ghg,2025,1.913
p83,SR1.5,natural,2015,
p83,SR1.5,natural,2017,0.073
p83,SR1.5,natural,2021,
p83,SR1.5,natural,2025,0.048
p83,SR1.5,other_human_forcing,2015,
p83,SR1.5,other_human_forcing,2017,-0.255
p83,SR1.5,other_human_forcing,2021,
p83,SR1.5,other_human_forcing,2025,-0.209
p83,SR1.5,total,2015,
p83,SR1.5,total,2017,1.253
p83,SR1.5,total,2021,
p83,SR1.5,total,2025,1.458
p83,AR6,anthropogenic,2015,1.128
p83,AR6,anthropogenic,2017,
p83,AR6,anthropogenic,2021,1.292
p83,AR6,anthropogenic,2025,
p83,AR6,ghg,2015,1.642
p83,AR6,ghg,2017,
p83,AR6,ghg,2021,1.797
p83,AR6,ghg,2025,
p83,AR6,natural,2015,0.072
p83,AR6,natural,2017,
p83,AR6,natural,2021,0.058
p83,AR6,natural,2025,
p83,AR6,other_human_forcing,2015,-0.262
p83,AR6,other_human_forcing,2017,
p83,AR6,other_human_forcing,2021,-0.23
p83,AR6,other_human_forcing,2025,
p83,AR6,total,2015,1.19
p83,AR6,total,2017,
p83,AR6,total,2021,1.34
p83,AR6,total,2025,
p95,Annual,anthropogenic,2015,
p95,Annual,anthropogenic,2017,1.247
p95,Annual,anthropogenic,2021,
p95,Annual,anthropogenic,2025,1.491
p95,Annual,ghg,2015,
p95,Annual,ghg,2017,1.86
p95,Annual,ghg,2021,
p95,Annual,ghg,2025,2.088
p95,Annual,natural,2015,
p95,Annual,natural,2017,0.081
p95,Annual,natural,2021,
p95,Annual,natural,2025,0.059
p95,Annual,other_human_forcing,2015,
p95,Annual,other_human_forcing,2017,-0.122
p95,Annual,other_human_forcing,2021,
p95,Annual,other_human_forcing,2025,-0.065
p95,Annual,total,2015,
p95,Annual,total,2017,1.307
p95,Annual,total,2021,
p95,Annual,total,2025,1.533
p95,SR1.5,anthropogenic,2015,
p95,SR1.5,anthropogenic,2017,1.242
p95,SR1.5,anthropogenic,2021,
p95,SR1.5,anthropogenic,2025,1.488
p95,SR1.5,ghg,2015,
p95,SR1.5,ghg,2017,1.859
p95,SR1.5,ghg,2021,
p95,SR1.5,ghg,2025,2.088
p95,SR1.5,natural,2015,
p95,SR1.5,natural,2017,0.082
p95,SR1.5,natural,2021,
p95,SR1.5,natural,2025,0.054
p95,SR1.5,other_human_forcing,2015,
p95,SR1.5,other_human_forcing,2017,-0.126
p95,SR1.5,other_human_forcing,2021,
p95,SR1.5,other_human_forcing,2025,-0.069
p95,SR1.5,total,2015,
p95,SR1.5,total,2017,1.304
p95,SR1.5,total,2021,
p95,SR1.5,total,2025,1.527
p95,AR6,anthropogenic,2015,1.181
p95,AR6,anthropogenic,2017,
p95,AR6,anthropogenic,2021,1.352
p95,AR6,anthropogenic,2025,
p95,AR6,ghg,2015,1.788
p95,AR6,ghg,2017,
p95,AR6,ghg,2021,1.959
p95,AR6,ghg,2025,
p95,AR6,natural,2015,0.081
p95,AR6,natural,2017,
p95,AR6,natural,2021,0.065
p95,AR6,natural,2025,
p95,AR6,other_human_forcing,2015,-0.137
p95,AR6,other_human_forcing,2017,
p95,AR6,other_human_forcing,2021,-0.102
p95,AR6,other_human_forcing,2025,
p95,AR6,total,2015,1.244
p95,AR6,total,2017,
p95,AR6,total,2021,1.402
p95,AR6,total,2025,
