time,timebound_lower,timebound_upper,mean,std
1978.5,1978,1979,-56.39492426,40.97524545
1979.5,1979,1980,-54.32284756,41.18748721
1980.5,1980,1981,-52.15115696,40.95505072
1981.5,1981,1982,-42.42976907,41.32893885
1982.5,1982,1983,-46.24950048,41.13355069
1983.5,1983,1984,-42.40699329,40.97988711
1984.5,1984,1985,-41.58879637,41.0129151
1985.5,1985,1986,-46.43891604,41.037567
1986.5,1986,1987,-43.31631237,41.33520202
1987.5,1987,1988,-43.40833746,42.56380994
1988.5,1988,1989,-43.0659325,41.34258363
1989.5,1989,1990,-39.07340657,41.06649144
1990.5,1990,1991,-35.53869396,41.09032759
1991.5,1991,1992,-35.88763713,41.21996163
1992.5,1992,1993,-35.44869411,41.16432932
1993.5,1993,1994,-34.91653693,38.40329183
1994.5,1994,1995,-31.39489846,38.43851102
1995.5,1995,1996,-27.05580812,38.51044868
1996.5,1996,1997,-24.28443609,38.47399625
1997.5,1997,1998,-20.28040406,38.47791084
1998.5,1998,1999,-19.57651765,38.41324618
1999.5,1999,2000,-18.14127628,38.40842643
2000.5,2000,2001,-13.71670836,38.41343299
2001.5,2001,2002,-8.384515047,38.41572973
2002.5,2002,2003,-7.145892881,38.40430283
2003.5,2003,2004,-4.396817952,38.40634956
2004.5,2004,2005,-2.127535859,38.40509842
2005.5,2005,2006,2.494384445,38.40883976
2006.5,2006,2007,4.259474003,38.415349
2007.5,2007,2008,5.074167937,38.42247764
2008.5,2008,2009,8.767043041,38.4166719
2009.5,2009,2010,13.11272484,38.42230355
2010.5,2010,2011,14.91675016,38.42965831
2011.5,2011,2012,14.24452126,38.43187197
2012.5,2012,2013,24.6331653,38.42786932
2013.5,2013,2014,27.25856476,38.43322383
2014.5,2014,2015,30.34911656,38.41422334
2015.5,2015,2016,39.70442892,38.41230494
2016.5,2016,2017,42.91946548,38.42691082
2017.5,2017,2018,43.82781463,38.44949748
2018.5,2018,2019,47.06342966,38.4716271
2019.5,2019,2020,53.85781843,38.46599568
2020.5,2020,2021,56.34632885,38.48107432
2021.5,2021,2022,61.10815875,38.49565918
2022.5,2022,2023,63.8342415,38.49920775
2023.5,2023,2024,69.97698872,38.49897492
2024.5,2024,2025,73.5683673,38.48160094
2025.5,2025,2026,73.97141215,38.49379982
